报告日期,指数值,PMI分项
2018年06月份,55.0,非制造业-指数
2018年05月份,54.9,非制造业-指数
2018年04月份,54.8,非制造业-指数
2018年03月份,54.6,非制造业-指数
2018年02月份,54.4,非制造业-指数
2018年01月份,55.3,非制造业-指数
2017年12月份,55.0,非制造业-指数
2017年11月份,54.8,非制造业-指数
2017年10月份,54.3,非制造业-指数
2017年09月份,55.4,非制造业-指数
2017年08月份,53.4,非制造业-指数
2017年07月份,54.5,非制造业-指数
2017年06月份,54.9,非制造业-指数
2017年05月份,54.5,非制造业-指数
2017年04月份,54.0,非制造业-指数
2017年03月份,55.1,非制造业-指数
2017年02月份,54.2,非制造业-指数
2017年01月份,54.6,非制造业-指数
2016年12月份,54.5,非制造业-指数
2016年11月份,54.7,非制造业-指数
2016年10月份,54.0,非制造业-指数
2016年09月份,53.7,非制造业-指数
2016年08月份,53.5,非制造业-指数
2016年07月份,53.9,非制造业-指数
2016年06月份,53.7,非制造业-指数
2016年05月份,53.1,非制造业-指数
2016年04月份,53.5,非制造业-指数
2016年03月份,53.8,非制造业-指数
2016年02月份,52.7,非制造业-指数
2016年01月份,53.5,非制造业-指数
2015年12月份,54.4,非制造业-指数
2015年11月份,53.6,非制造业-指数
2015年10月份,53.1,非制造业-指数
2015年09月份,53.4,非制造业-指数
2015年08月份,53.4,非制造业-指数
2015年07月份,53.9,非制造业-指数
2015年06月份,53.8,非制造业-指数
2015年05月份,53.2,非制造业-指数
2015年04月份,53.4,非制造业-指数
2015年03月份,53.7,非制造业-指数
2015年02月份,53.9,非制造业-指数
2015年01月份,53.7,非制造业-指数
2014年12月份,54.1,非制造业-指数
2014年11月份,53.9,非制造业-指数
2014年10月份,53.8,非制造业-指数
2014年09月份,54.0,非制造业-指数
2014年08月份,54.4,非制造业-指数
2014年07月份,54.2,非制造业-指数
2014年06月份,55.0,非制造业-指数
2014年05月份,55.5,非制造业-指数
2014年04月份,54.8,非制造业-指数
2014年03月份,54.5,非制造业-指数
2014年02月份,55.0,非制造业-指数
2014年01月份,53.4,非制造业-指数
2013年12月份,54.6,非制造业-指数
2013年11月份,56.0,非制造业-指数
2013年10月份,56.3,非制造业-指数
2013年09月份,55.4,非制造业-指数
2013年08月份,53.9,非制造业-指数
2013年07月份,54.1,非制造业-指数
2013年06月份,53.9,非制造业-指数
2013年05月份,54.3,非制造业-指数
2013年04月份,54.5,非制造业-指数
2013年03月份,55.6,非制造业-指数
2013年02月份,54.5,非制造业-指数
2013年01月份,56.2,非制造业-指数
2012年12月份,56.1,非制造业-指数
2012年11月份,55.6,非制造业-指数
2012年10月份,55.5,非制造业-指数
2012年09月份,53.7,非制造业-指数
2012年08月份,56.3,非制造业-指数
2012年07月份,55.6,非制造业-指数
2012年06月份,56.7,非制造业-指数
2012年05月份,55.2,非制造业-指数
2012年04月份,56.1,非制造业-指数
2012年03月份,58.0,非制造业-指数
2012年02月份,57.3,非制造业-指数
2012年01月份,55.7,非制造业-指数
2011年12月份,56.3,非制造业-指数
2011年11月份,55.9,非制造业-指数
2011年10月份,55.5,非制造业-指数
2011年09月份,55.8,非制造业-指数
2011年08月份,57.1,非制造业-指数
2011年07月份,57.3,非制造业-指数
2011年06月份,56.6,非制造业-指数
2011年05月份,58.7,非制造业-指数
2011年04月份,58.2,非制造业-指数
2011年03月份,59.2,非制造业-指数
2011年02月份,57.0,非制造业-指数
2011年01月份,57.2,非制造业-指数
2010年12月份,58.8,非制造业-指数
2010年11月份,58.9,非制造业-指数
2010年10月份,57.4,非制造业-指数
2010年09月份,57.9,非制造业-指数
2010年08月份,58.0,非制造业-指数
2010年07月份,57.1,非制造业-指数
2010年06月份,58.8,非制造业-指数
